Marca,Token Figma,Variable ID,Valor Figma,Cadena alias,CSS,Valor CSS actual,Comparación CSS,Catálogo actual,Comparación catálogo
grm-global,card,VariableID:51:19,#ffffff,card → color/neutral/0,--card,#ffffff,equal,#ffffff,equal
grm-global,popover,VariableID:51:20,#faf8fb,popover → GRM Global/neutral/50,--popover,#f7f6f8,different,#f7f6f8,different
grm-global,border,VariableID:51:21,#dad4d7,border → GRM Global/neutral/300,--border,#dad4d7,equal,#dad4d7,equal
grm-global,input,VariableID:51:22,#bbb3b7,input → GRM Global/neutral/400,--input,#bbb3b7,equal,#bbb3b7,equal
grm-global,ring,VariableID:51:23,#007b6d,ring → GRM Global/primary/500,--ring,#008979,different,#008979,different
grm-global,sidebar,VariableID:51:24,#ffffff,sidebar → color/neutral/0,--sidebar,#ffffff,equal,#ffffff,equal
grm-global,popover/foreground,VariableID:51:25,#2c282a,popover/foreground → GRM Global/neutral/900,--popover-foreground,#342f32,different,#342f32,different
grm-global,secondary/foreground,VariableID:51:26,#166f54,secondary/foreground → GRM Global/secondary/900,--secondary-foreground,#166f54,equal,#166f54,equal
grm-global,primary/foreground,VariableID:51:172,#ffffff,primary/foreground → color/neutral/0,--primary-foreground,#ffffff,equal,#ffffff,equal
grm-global,muted/foreground,VariableID:71:2,#696065,muted/foreground → GRM Global/neutral/600,--muted-foreground,#9b9196,different,#9b9196,different
grm-global,accent/foreground,VariableID:71:3,#3f393c,accent/foreground → GRM Global/neutral/800,--accent-foreground,#484145,different,#484145,different
grm-global,chart/1,VariableID:71:4,#007b6d,chart/1 → GRM Global/primary/500,--chart-1,,missing,#008979,different
grm-global,card/foreground,VariableID:71:5,#3f393c,card/foreground → GRM Global/neutral/800,--card-foreground,#484145,different,#484145,different
grm-global,sidebar/foreground,VariableID:71:6,#2c282a,sidebar/foreground → GRM Global/neutral/900,--sidebar-foreground,#342f32,different,#342f32,different
grm-global,chart/2,VariableID:71:7,#7cedc1,chart/2 → GRM Global/secondary/500,--chart-2,,missing,#7cedc1,equal
grm-global,chart/3,VariableID:71:8,#b5a7c7,chart/3 → GRM Global/accent/500,--chart-3,,missing,#887a99,different
grm-global,chart/4,VariableID:71:9,#00a241,chart/4 → success → GRM Global/status/success/500,--chart-4,,missing,#4ccb6a,different
grm-global,chart/5,VariableID:71:10,#f6c453,chart/5 → warning → GRM Global/status/warning/500,--chart-5,,missing,#f6c453,equal
grm-global,sidebar/primary/foreground,VariableID:71:12,#ffffff,sidebar/primary/foreground → color/neutral/0,--sidebar-primary-foreground,#ffffff,equal,#ffffff,equal
grm-global,sidebar/accent/foreground,VariableID:71:13,#2c282a,sidebar/accent/foreground → GRM Global/neutral/900,--sidebar-accent-foreground,#166f54,different,#342f32,different
grm-global,sidebar/border,VariableID:71:14,#bbb3b7,sidebar/border → GRM Global/neutral/400,--sidebar-border,#dad4d7,different,#bbb3b7,equal
grm-global,sidebar/ring,VariableID:71:15,#2aae9f,sidebar/ring → GRM Global/primary/400,--sidebar-ring,#008979,different,#2aae9f,equal
grm-global,sidebar/primary,VariableID:74:3,#007b6d,sidebar/primary → GRM Global/primary/500,--sidebar-primary,#008979,different,#008979,different
grm-global,sidebar/accent,VariableID:74:4,#e8f8f5,sidebar/accent → GRM Global/primary/50,--sidebar-accent,#ddf9ee,different,#e8f8f5,equal
grm-global,primary/10%,VariableID:248:129,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:185'}, 'opacity': 10}",primary/10%,--primary-10,,missing,oklch(0.5649 0.1019 180.8 / 10%),different
grm-global,primary/default-foreground,VariableID:248:131,#007b6d,primary/default-foreground → primary → GRM Global/primary/500,--primary-default-foreground,#008979,different,#008979,different
grm-global,primary/15%,VariableID:248:511,"{'color': {'type': 'VARIABLE_ALIAS', 'id': 'VariableID:44:185'}, 'opacity': 15}",primary/15%,--primary-15,,missing,oklch(0.5649 0.1019 180.8 / 15%),different
grm-global,secondary/40%,VariableID:249:143,#7cedc1 / 40%,secondary/40% → GRM Global/secondary/500-40%,--secondary-40,,missing,oklch(0.8672 0.1221 166.06 / 40%),equal
grm-global,secondary/default-border,VariableID:294:472,#7cedc1,secondary/default-border → GRM Global/secondary/500,--secondary-default-border,#7cedc1,equal,#7cedc1,equal
grm-global,secondary/10%,VariableID:294:495,#7cedc1 / 10%,secondary/10% → GRM Global/secondary/500-10%,--secondary-10,,missing,oklch(0.8672 0.1221 166.06 / 10%),equal
grm-global,primary/default-border,VariableID:294:496,#007b6d,primary/default-border → primary → GRM Global/primary/500,--primary-default-border,,missing,#008979,different
grm-global,success/default-border,VariableID:332:2317,#00a241,success/default-border → GRM Global/status/success/500,--success-default-border,#4ccb6a,different,#4ccb6a,different
grm-global,warning/default-border,VariableID:332:2318,#f6c453,warning/default-border → GRM Global/status/warning/500,--warning-default-border,#f6c453,equal,#f6c453,equal
grm-global,error/default-border,VariableID:332:2323,#ea6e5c,error/default-border → GRM Global/status/error/500,--error-default-border,#ea6e5c,equal,#ea6e5c,equal
